Resumo,Data,Descrição
Último dia para a Secretaria da Receita Federal do Brasil e as secretarias estaduais e municipais de Fazenda encaminharem ao Tribunal Superior Eleitoral, pela internet, arquivo eletrônico complementar, contendo as notas fiscais eletrônicas relativas ao fornecimento de bens e serviços para campanha eleitoral emitidas de 7 a 31 de outubro de 2024,11/10/2024,"Último dia para a Secretaria da Receita Federal do Brasil e as secretarias estaduais e municipais de Fazenda encaminharem ao Tribunal Superior Eleitoral, pela internet, arquivo eletrônico complementar, contendo as notas fiscais eletrônicas relativas ao fornecimento de bens e serviços para campanha eleitoral emitidas de 7 a 31 de outubro de 2024 (Res.-TSE nº 23.607/2019, art. 92, II) ;"
Último dia para os Poderes Executivos Federal, Estadual, Distrital e Municipal encaminharem ao Tribunal Superior Eleitoral, pela internet, arquivo eletrônico complementar, contendo permissões concedidas de 7 a 31 de outubro de 2024,11/10/2024,"Último dia para os Poderes Executivos Federal, Estadual, Distrital e Municipal encaminharem ao Tribunal Superior Eleitoral, pela internet, arquivo eletrônico complementar, contendo permissões concedidas de 7 a 31 de outubro de 2024 (Res.-TSE nº 23.607/2019, art. 92-A, II) ;https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art92a)."
Data a partir da qual, nos Municípios em que tenha havido votação em segundo turno, o funcionamento dos cartórios eleitorais, inclusive dos responsáveis pela análise das prestações de contas, observará o disposto em regulamentação de cada tribunal eleitoral respectivo, à qual se dará ampla publicidade,11/11/2024,"Data a partir da qual, nos Municípios em que tenha havido votação em segundo turno, o funcionamento dos cartórios eleitorais, inclusive dos responsáveis pela análise das prestações de contas, observará o disposto em regulamentação de cada tribunal eleitoral respectivo, à qual se dará ampla publicidade."
Data a partir da qual os tribunais não mais publicarão em sessão as decisões em representações sobre propaganda eleitoral e direito de resposta provenientes dos Municípios em que tenha havido votação em segundo turno,11/11/2024,"Data a partir da qual os tribunais não mais publicarão em sessão as decisões em representações sobre propaganda eleitoral e direito de resposta provenientes dos Municípios em que tenha havido votação em segundo turno."
Último dia para as candidatas e os candidatos que concorreram no segundo turno das eleições e os partidos políticos encaminharem à Justiça Eleitoral, pelo Sistema de Prestação de Contas Eleitorais (SPCE), as prestações de contas referentes aos dois turnos, incluindo todos os órgãos partidários que efetuaram doações ou gastos com candidaturas do segundo turno, ainda que não concorrentes,11/16/2024,"Último dia para as candidatas e os candidatos que concorreram no segundo turno das eleições e os partidos políticos encaminharem à Justiça Eleitoral, pelo Sistema de Prestação de Contas Eleitorais (SPCE), as prestações de contas referentes aos dois turnos, incluindo todos os órgãos partidários que efetuaram doações ou gastos com candidaturas do segundo turno, ainda que não concorrentes (Lei nº 9.504/1997, art. 29, IV , e Res.-TSE nº 23.607/2019, art. 49, § 1º) ; ."
Último dia para as candidatas e os candidatos que disputaram o segundo turno transferirem as sobras da campanha ao órgão partidário, na circunscrição do pleito, conforme a origem dos recursos e a sua filiação partidária, inclusive os créditos contratados de impulsionamento não utilizados,11/16/2024,"Último dia para as candidatas e os candidatos que disputaram o segundo turno transferirem as sobras da campanha ao órgão partidário, na circunscrição do pleito, conforme a origem dos recursos e a sua filiação partidária, inclusive os créditos contratados de impulsionamento não utilizados (Lei nº 9.504/1997, art. 31, I ; ) ; ), e 50, § 1º) ."
Último dia para as candidatas e os candidatos que disputaram o segundo turno, observada a data da efetiva apresentação das contas, transferirem ao Tesouro Nacional os valores do Fundo Especial de Financiamento de Campanha (FEFC) eventualmente não utilizados, inclusive os decorrentes da alienação de bens permanentes obtidos com recursos do FEFC e os créditos contratados de impulsionamento não utilizados,11/16/2024,"Último dia para as candidatas e os candidatos que disputaram o segundo turno, observada a data da efetiva apresentação das contas, transferirem ao Tesouro Nacional os valores do Fundo Especial de Financiamento de Campanha (FEFC) eventualmente não utilizados, inclusive os decorrentes da alienação de bens permanentes obtidos com recursos do FEFC e os créditos contratados de impulsionamento não utilizados (Lei nº 9.504/1997, art. 16-C, § 11 ; ) ; ), e 50, § 5º 23.605/2019, art. 11) ; ."
Último dia para a Justiça Eleitoral identificar as candidatas, os candidatos e os partidos políticos que se omitiram a prestar as contas referentes ao segundo turno,11/19/2024,"Último dia para a Justiça Eleitoral identificar as candidatas, os candidatos e os partidos políticos que se omitiram a prestar as contas referentes ao segundo turno (Res.-TSE nº 23.607/2019, art. 49, § 5º) (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art50); e Res.-TSE nº ."
Último dia para as candidatas, os candidatos, os partidos políticos, as federações e as coligações removerem as propagandas relativas ao segundo turno das eleições e promoverem a restauração do bem em que afixada, se for o caso,11/26/2024,"Último dia para as candidatas, os candidatos, os partidos políticos, as federações e as coligações removerem as propagandas relativas ao segundo turno das eleições e promoverem a restauração do bem em que afixada, se for o caso (Res.-TSE nº 23.610/2019, art. 121) ; ."
Último dia para a mesária ou o mesário que não compareceu aos trabalhos no segundo turno apresentar justificativa ao juízo eleitoral,11/26/2024,"Último dia para a mesária ou o mesário que não compareceu aos trabalhos no segundo turno apresentar justificativa ao juízo eleitoral (Código Eleitoral, art. 124) ."
Data-limite para a publicação, na página da internet do Tribunal Superior Eleitoral, dos relatórios individuais de auditoria de cada TRE, bem como o relatório consolidado conclusivo sobre a fiscalização realizada no teste de integridade das urnas eletrônicas, no primeiro e segundo turnos, elaborado pela instituição conveniada ou pela empresa de auditoria de funcionamento das urnas eletrônicas,11/26/2024,"Data-limite para a publicação, na página da internet do Tribunal Superior Eleitoral, dos relatórios individuais de auditoria de cada TRE, bem como o relatório consolidado conclusivo sobre a fiscalização realizada no teste de integridade das urnas eletrônicas, no primeiro e segundo turnos, elaborado pela instituição conveniada ou pela empresa de auditoria de funcionamento das urnas eletrônicas (Res.-TSE nº 23.673/2021, art. 66, § 2º) ."
Último dia para a eleitora ou o eleitor que deixou de votar no primeiro turno e que não justificou a falta no dia da eleição, apresentar, em qualquer cartório eleitoral, pelo aplicativo e-Título ou pelo serviço disponível no sítio eletrônico do TSE e dos TREs, justificativa fundamentada ao juízo eleitoral,12/05/2024,"Último dia para a eleitora ou o eleitor que deixou de votar no primeiro turno e que não justificou a falta no dia da eleição, apresentar, em qualquer cartório eleitoral, pelo aplicativo e-Título ou pelo serviço disponível no sítio eletrônico do TSE e dos TREs, justificativa fundamentada ao juízo eleitoral (Lei nº 6.091/1974, art. 16 ; Res.-TSE nº 23.659/2021, art. 126) ."
Último dia para o juízo eleitoral responsável pela recepção dos requerimentos de justificativa não registrados na urna no primeiro e no segundo turnos lançar as informações no Cadastro Eleitoral,12/11/2024,"Último dia para o juízo eleitoral responsável pela recepção dos requerimentos de justificativa não registrados na urna no primeiro e no segundo turnos lançar as informações no Cadastro Eleitoral."
Data até a qual, observada a antecedência de 3 (três) dias em relação à data da diplomação, deverão estar publicadas as decisões que julgarem as contas das candidatas e dos candidatos eleitas(os),12/16/2024,"Data até a qual, observada a antecedência de 3 (três) dias em relação à data da diplomação, deverão estar publicadas as decisões que julgarem as contas das candidatas e dos candidatos eleitas(os) (Lei nº 9.504/1997, art. 30, § 1º ; e Res.-TSE nº 23.607/2019, art. 78) ."
Último dia para a diplomação das eleitas e dos eleitos,12/19/2024,"Último dia para a diplomação das eleitas e dos eleitos."
Último dia para os cartórios eleitorais e secretarias dos tribunais eleitorais permanecerem abertos aos sábados, domingos e feriados,12/19/2024,"Último dia para os cartórios eleitorais e secretarias dos tribunais eleitorais permanecerem abertos aos sábados, domingos e feriados (Lei Complementar nº 64/1990, art. 16) ;"
Último dia de atuação das juízas e dos juízes auxiliares nos tribunais eleitorais,12/19/2024,"Último dia de atuação das juízas e dos juízes auxiliares nos tribunais eleitorais (Lei nº 9.504/1997, art. 96, § 3º (http://www.planalto.gov.br/ccivil_03/leis/l9504.htm#art96) e Res.-TSE nº 23.608/2019, art. 2º, II) ."
Data a partir da qual os prazos processuais relativos aos processos das eleições de 2024 não mais serão mais contados, em cartório ou secretaria ou no PJe, de forma contínua,12/19/2024,"Data a partir da qual os prazos processuais relativos aos processos das eleições de 2024 não mais serão mais contados, em cartório ou secretaria ou no PJe, de forma contínua (Lei Complementar nº 64/1990, art. 16 ; Res.-TSE nº 23.609/2019, art. 78 ;"
Último dia em que o mural eletrônico, mensagens instantâneas e mensagens eletrônicas serão utilizados para as comunicações da Justiça Eleitoral nos processos de registro de candidatura, nas representações, nas reclamações, nos pedidos de direito de resposta e nas prestações de contas, observadas as regras específicas das respectivas resoluções,12/19/2024,"Último dia em que o mural eletrônico, mensagens instantâneas e mensagens eletrônicas serão utilizados para as comunicações da Justiça Eleitoral nos processos de registro de candidatura, nas representações, nas reclamações, nos pedidos de direito de resposta e nas prestações de contas, observadas as regras específicas das respectivas resoluções (Res.-TSE nº 23.607/2019, art. 98, caput , caput, art. 12 ) de-18-de-dezembro-de-2019#art12) e Res.-TSE nº 23.609/2019, art. 38, caput) ."
Último dia em que, nas representações, nas reclamações, nos pedidos de direito de resposta e nas prestações de contas, o Ministério Público será intimado das decisões e dos despachos por meio eletrônico,12/19/2024,"Último dia em que, nas representações, nas reclamações, nos pedidos de direito de resposta e nas prestações de contas, o Ministério Público será intimado das decisões e dos despachos por meio eletrônico (Res.-TSE nº 23.607/2019, art. 99 ; art. 12, §§ 7º e 8º) e desembro-de-2019/resultação/compliada/res/2019/resolucao-no-23-609-de-18-de-dezembrode-2019#art12)."
Último dia em que o Ministério Público e as partes serão intimados dos acórdãos, em sessão de julgamento, quando nela forem publicados,12/19/2024,"Último dia em que o Ministério Público e as partes serão intimados dos acórdãos, em sessão de julgamento, quando nela forem publicados. (Res.- TSE nº 23.607/2019, art. 99 ; art. 12, §§ 7º e 8º) ; (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-608-de-18-de-dezembro-de-2019#art12); e Res.- TSE nº 23.609/2019, art. 38, §§ 7º e 8º) e desembro-de-2019/resultação/compliada/res/2019/resolucao-no-23-609-de-18-de-dezembrode-2019#art38)."
Último dia em que, nos procedimentos de registro de candidatura, propaganda eleitoral, direito de resposta e prestação de contas, a publicação dos atos judiciais será realizada em mural eletrônico, disponível no sítio eletrônico do respectivo tribunal, com o registro do horário da publicação, e os acórdãos serão publicados em sessão de julgamento,12/19/2024,"Último dia em que, nos procedimentos de registro de candidatura, propaganda eleitoral, direito de resposta e prestação de contas, a publicação dos atos judiciais será realizada em mural eletrônico, disponível no sítio eletrônico do respectivo tribunal, com o registro do horário da publicação, e os acórdãos serão publicados em sessão de julgamento (Res.-TSE nº 23.607/2019, art. 99 ; art. 12, caput e § 9º ; (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art99); Res.- TSE nº 23.608/2019, art. 12, caput e § 9º ; (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-608-de-18-dedezembro-de-2019#art12)Res.-TSE nº 23.609/2019, art. 38, caput e § 9º) (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-609-de-18-de-dezembro-de-2019#art38)."
Data-limite para os bancos encerrarem as contas bancárias das candidatas e dos candidatos destinadas à movimentação de recursos do Fundo Partidário e de doações para campanha, transferindo a totalidade do saldo existente para a conta bancária do órgão de direção da circunscrição, na forma prevista no art. 51 da Res-TSE nº 23.607/2019, informando o fato à Justiça Eleitoral,12/31/2024,"Data-limite para os bancos encerrarem as contas bancárias das candidatas e dos candidatos destinadas à movimentação de recursos do Fundo Partidário e de doações para campanha, transferindo a totalidade do saldo existente para a conta bancária do órgão de direção da circunscrição, na forma prevista no art. 51 da Res-TSE nº 23.607/2019 , informando o fato à Justiça Eleitoral (Res.-TSE nº 23.607/2019, art. 12, III) ."
Data-limite para os bancos encerrarem as contas bancárias das candidatas, dos candidatos e dos partidos políticos destinadas à movimentação de recursos do Fundo Especial de Financiamento de Campanha (FEFC) transferindo, de forma unificada, a totalidade do saldo existente para o Tesouro Nacional, na forma prevista no art. 52 Resolução-TSE nº 23.607/2019, informando o fato à Justiça Eleitoral,12/31/2024,"Data-limite para os bancos encerrarem as contas bancárias das candidatas, dos candidatos e dos partidos políticos destinadas à movimentação de recursos do Fundo Especial de Financiamento de Campanha (FEFC) transferindo, de forma unificada, a totalidade do saldo existente para o Tesouro Nacional, na forma prevista no art. 52 Resolução-TSE nº 23.607/2019 , informando o fato à Justiça Eleitoral (Res.-TSE nº 23.607/2019, art. 12, III) ."
Data em que todas as inscrições das candidatas e dos candidatos na Receita Federal serão, de ofício, canceladas,12/31/2024,"Data em que todas as inscrições das candidatas e dos candidatos na Receita Federal serão, de ofício, canceladas (Instrução Normativa Conjunta-RFB/TSE nº 2001/2020, art. 7º, I) ."
Último dia, nas unidades da Federação que realizaram apenas o primeiro turno das eleições, para a cessão de funcionárias e funcionários à Justiça Eleitoral, pelos órgãos e entidades da Administração Pública direta e indireta,01/06/2025,"Último dia, nas unidades da Federação que realizaram apenas o primeiro turno das eleições, para a cessão de funcionárias e funcionários à Justiça Eleitoral, pelos órgãos e entidades da Administração Pública direta e indireta (Lei nº 9.504/1997, art. 94-A, II) ."
Último dia para a eleitora ou o eleitor que não tenha votado no segundo turno e que não justificou a falta no dia da eleição, apresentar, em cartório eleitoral, pelo aplicativo e-Título ou pelo serviço disponível no sítio eletrônico do TSE e dos TRES, justificativa ao juízo eleitoral,01/07/2025,"Último dia para a eleitora ou o eleitor que não tenha votado no segundo turno e que não justificou a falta no dia da eleição, apresentar, em cartório eleitoral, pelo aplicativo e-Título ou pelo serviço disponível no sítio eletrônico do TSE e dos TRES, justificativa ao juízo eleitoral (Lei nº 6.091/1974, art. 16 , Res.-TSE nº 23.659/2021, art. 126) . (https://www.tse.jus.br/legislacao/compliada/res/2021/resolucao-no-23-659-de-26-de-outubro-de-2021#art126)."
"Último dia para as entidades fiscalizadoras solicitarem verificação dos sistemas eleitorais após o pleito, desde que relatados fatos e apresentados indícios e circunstâncias que a justifiquem",01/09/2025,"Último dia para as entidades fiscalizadoras solicitarem verificação dos sistemas eleitorais após o pleito, desde que relatados fatos e apresentados indícios e circunstâncias que a justifiquem (Res.-TSE nº 23.673/2021, art. 51, §1º) ."
"Data até a qual os meios de armazenamento de dados utilizados pelos sistemas eleitorais e as cópias de segurança dos dados, inclusive os utilizados nas auditorias e testes de integridade, serão identificados e mantidos em condições apropriadas",01/14/2025,"Data até a qual os meios de armazenamento de dados utilizados pelos sistemas eleitorais e as cópias de segurança dos dados, inclusive os utilizados nas auditorias e testes de integridade, serão identificados e mantidos em condições apropriadas (Res.-TSE nº 23.637/2021, art. 81) ."
"Data-limite para o encaminhamento, pelos TRES, da ata de encerramento dos trabalhos relativos aos testes de integridade das urnas eletrônicas ao Tribunal Superior Eleitoral",01/14/2025,"Data-limite para o encaminhamento, pelos TRES, da ata de encerramento dos trabalhos relativos aos testes de integridade das urnas eletrônicas ao Tribunal Superior Eleitoral (Res.-TSE nº 23.673/2021, art. 72) ."
"Último dia para as entidades fiscalizadores solicitarem à Justiça Eleitoral, para auditoria que demande a preservação da cadeia de custódia, os seguintes relatórios e cópias dos arquivos de sistemas",01/14/2025,"Último dia para as entidades fiscalizadores solicitarem à Justiça Eleitoral, para auditoria que demande a preservação da cadeia de custódia, os seguintes relatórios e cópias dos arquivos de sistemas (Res.-TSE nº 23.673/2021, art. 48) a) arquivos de log do Gerenciador de Dados, Aplicativos e Interface com a Uma Eletrônica (GEDAI-UE); b) arquivos de dados alimentadores do Sistema de Gerenciamento da Totalização, referentes a pessoas candidatas, partidos políticos, coligações, federações municípios, zonas e seções eleitorais; c) arquivos de log do Transportador, do Receptor de Arquivos de Uma e do banco de dados da totalização; d) arquivo de imagens dos boletins de urna (BUs); e) arquivos de Registro Digital do Voto (RDV); f) arquivos de log das urnas; g) relatório de boletins de urnas que estiveram em pendência, sua motivação e respectiva decisão; h) relatório Resultado da Totalização emitido pelo Sistema de Gerenciamento da Totalização (SISTOT), incluindo a relação das seções em que o boletim de urna tenha sido gerado em urna substituta; i) arquivos de dados de votação por seção; j) relatório com dados sobre o comparecimento e a abstenção em cada seção eleitoral."
"Data a partir da qual os seguintes procedimentos podem ser realizados com as urnas eletrônicas utilizadas na votação e na auditoria, desde que as informações nelas contidas não sejam objeto de exame em processo judicial",01/15/2025,"Data a partir da qual os seguintes procedimentos podem ser realizados com as urnas eletrônicas utilizadas na votação e na auditoria, desde que as informações nelas contidas não sejam objeto de exame em processo judicial (Res.-TSE nº 23.763/2021, arts. 72, § 3º ) e 81 a) a remoção dos lacres das urnas eletrônicas; b) a retirada e a formatação das mídias de votação; c) a formatação das mídias de carga; d) a formatação das mídias de resultado; e) a manutenção das urnas."
"Data a partir da qual as cédulas e as urnas de lona eventualmente utilizadas nas eleições de 2024 poderão ser respectivamente inutilizadas e deslacradas, desde que não haja pedido de recontagem de votos ou não sejam objeto de exame em processo judicial",01/15/2025,"Data a partir da qual as cédulas e as urnas de lona eventualmente utilizadas nas eleições de 2024 poderão ser respectivamente inutilizadas e deslacradas, desde que não haja pedido de recontagem de votos ou não sejam objeto de exame em processo judicial (Código Eleitoral, art. 183, caput) ."
"Data a partir da qual os seguintes procedimentos podem ser realizados, desde que não sejam objeto de análise em procedimento administrativo ou processo judicial impugnando ou auditando a votação",01/15/2025,"Data a partir da qual os seguintes procedimentos podem ser realizados, desde que não sejam objeto de análise em procedimento administrativo ou processo judicial impugnando ou auditando a votação (Res.- TSE nº 23.673/2021, art. 82) (https://www.tse.jus.br/legislacao/compliada/res/2021/resolucao-no-23-673-14-de-dezembro-de-2021#art82); a) formatação dos meios de armazenamento de dados, inclusive das mídias defeituosas mantidas em “Envelopes de Segurança” durante a preparação das urnas, votação e apuração; b) descarte das cópias de segurança dos dados; c) desinstalação dos sistemas eleitorais, inclusive os utilizados nos testes de integridade; d) documentos e materiais produzidos pela Comissão de Auditoria da Votação Eletrônica relativos ao teste de integridade das urnas eletrônicas do dia da eleição à exceção das atas de encerramento dos trabalhos."
"Último dia, nas unidades da Federação que realizaram segundo turno, para a cessão de funcionárias e funcionários à Justiça Eleitoral, pelos órgãos e entidades da Administração Pública direta e indireta",01/27/2025,"Último dia, nas unidades da Federação que realizaram segundo turno, para a cessão de funcionárias e funcionários à Justiça Eleitoral, pelos órgãos e entidades da Administração Pública direta e indireta (Lei nº 9.504/1997, art. 94-A, II) ."
Data em que deverá ser afixado o edital contendo a relação dos nomes e respectivas inscrições das eleitoras e eleitores identificadas(os) como faltossa(os) às três últimas eleições,03/05/2025,"Data em que deverá ser afixado o edital contendo a relação dos nomes e respectivas inscrições das eleitoras e eleitores identificadas(os) como faltossa(os) às três últimas eleições."
"Data até a qual as candidatas, os candidatos e os partidos políticos deverão conservar a documentação relativa a suas contas, desde que não estejam pendentes de julgamento, hipótese na qual deverão conservá-la até a decisão judicial final",06/16/2025,"Data até a qual as candidatas, os candidatos e os partidos políticos deverão conservar a documentação relativa a suas contas, desde que não estejam pendentes de julgamento, hipótese na qual deverão conservá-la até a decisão judicial final (Lei nº 9.504/1997, art. 32 , e Res.-TSE nº 23.607/2019, art. 28) ."
Último dia para o Tribunal Superior Eleitoral enviar à Secretaria da Receita Federal do Brasil a consolidação das informações sobre os valores doados e apurados até 31 de dezembro de 2024,07/30/2025,"Último dia para o Tribunal Superior Eleitoral enviar à Secretaria da Receita Federal do Brasil a consolidação das informações sobre os valores doados e apurados até 31 de dezembro de 2024 (Lei nº 9.504/1997, art. 24-C, §§ 1º e 2º ; e Res.-TSE nº 23.607/2019, art. 27, § 5º, II) ."
"Último dia para a Secretaria da Receita Federal do Brasil comunicar ao Ministério Público os indícios de excessos quanto aos limites de doação à campanha eleitoral de 2024, após o cruzamento dos valores doados com os rendimentos da pessoa física no exercício de 2023",07/30/2025,"Último dia para a Secretaria da Receita Federal do Brasil comunicar ao Ministério Público os indícios de excessos quanto aos limites de doação à campanha eleitoral de 2024, após o cruzamento dos valores doados com os rendimentos da pessoa física no exercício de 2023 (Lei nº 9.504/1997, art. 24-C, § 3º , e Res.-TSE nº 23.607/2019, art. 27, § 5º, III) ;"
"Último dia para o Ministério Público Eleitoral ajuizar representação pleiteando a aplicação da penalidade prevista no art. 23 da Lei nº 9.504/1997 , e de outras sanções cabíveis nos casos de doação acima do limite legal nas eleições de 2024, quanto ao que foi apurado relativamente ao exercício de 2023",12/31/2025,"Último dia para o Ministério Público Eleitoral ajuizar representação pleiteando a aplicação da penalidade prevista no art. 23 da Lei nº 9.504/1997 , e de outras sanções cabíveis nos casos de doação acima do limite legal nas eleições de 2024, quanto ao que foi apurado relativamente ao exercício de 2023 (Lei nº 9.504/1997, art. 24-C, § 3º) ."
